                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7041,                 2.9509,                 3.0833,                0.15388,                0.13043,                0.09608,                0.02759,                  2.265,                 3.2423,                 2.8868,              0.0016733,              0.0016733,              0.0016733
                     36,                 2.6658,                 3.0183,                 3.0699,                0.23128,                0.22258,                0.19225,                0.06575,                 2.4768,                 3.2641,                 3.1007,              0.0016634,              0.0016634,              0.0016634
                     37,                 2.5905,                 2.9269,                 2.9966,                0.18831,                0.17391,                0.22315,                0.07391,                   2.39,                 2.9988,                 3.0194,              0.0016535,              0.0016535,              0.0016535
                     38,                 2.6586,                 2.9622,                  3.052,                0.54546,                0.34783,                0.28956,                 0.0813,                 2.2919,                 2.9099,                 2.8491,              0.0016436,              0.0016436,              0.0016436
                     39,                   2.57,                 2.9739,                 2.9743,                0.44798,                0.34783,                0.35747,                0.09376,                 2.2819,                 2.8399,                 2.8172,              0.0016337,              0.0016337,              0.0016337
                     40,                  2.608,                 2.9601,                  2.998,                0.33844,                 0.3913,                0.29688,                0.09721,                 2.2822,                 2.9721,                 2.8255,              0.0016238,              0.0016238,              0.0016238
                     41,                 2.5528,                 2.9743,                 2.9672,                0.23119,                 0.3272,                0.23812,                0.07797,                  2.242,                 3.5727,                 2.8128,              0.0016139,              0.0016139,              0.0016139
                     42,                 2.4835,                 2.8902,                 2.9354,                 0.3514,                0.26087,                0.29903,                0.09648,                 2.1032,                 2.9238,                 2.6949,               0.001604,               0.001604,               0.001604
                     43,                 2.5765,                 2.9631,                 2.9676,                0.32455,                0.26087,                0.30715,                0.10411,                 2.2683,                 2.8896,                 2.8799,              0.0015941,              0.0015941,              0.0015941
                     44,                 2.5539,                  2.981,                 2.9753,                0.60882,                0.34783,                 0.3683,                0.10476,                 2.2289,                 2.7567,                 2.8703,              0.0015842,              0.0015842,              0.0015842
                     45,                 2.5404,                 2.8733,                 2.9855,                0.67388,                0.36006,                0.42893,                 0.1036,                 2.0973,                 2.7023,                 2.7468,              0.0015743,              0.0015743,              0.0015743
                     46,                 2.4612,                 2.8416,                 2.9102,                  0.087,                0.08696,                0.07558,                 0.0179,                 2.3932,                 3.3861,                 2.9819,              0.0015644,              0.0015644,              0.0015644
                     47,                 2.5003,                 2.8689,                 2.9258,                0.13075,                 0.6087,                0.19128,                0.05188,                 2.1917,                 2.9142,                 2.8076,              0.0015545,              0.0015545,              0.0015545
                     48,                 2.4135,                 2.7853,                 2.8667,                0.06079,                0.13043,                0.10924,                0.02193,                 2.2361,                 3.0539,                 2.8317,              0.0015446,              0.0015446,              0.0015446
                     49,                 2.4506,                 2.8377,                 2.8891,                0.15952,                0.30435,                0.19981,                 0.0405,                 2.1977,                 2.9935,                 2.8147,              0.0015347,              0.0015347,              0.0015347
                     50,                 2.3931,                 2.8188,                 2.8496,                0.69446,                0.30435,                0.29136,                0.09552,                 2.2398,                 2.9199,                 2.8433,              0.0015248,              0.0015248,              0.0015248
                     51,                 2.5002,                 2.9064,                 2.9179,                 0.1096,                0.43478,                0.13434,                0.03363,                 2.2713,                 3.1676,                 2.9375,              0.0015149,              0.0015149,              0.0015149
                     52,                 2.5174,                 2.9426,                 2.9013,                0.42001,                0.30435,                0.32189,                0.09295,                 2.0035,                  2.859,                 2.6445,               0.001505,               0.001505,               0.001505
                     53,                 2.3552,                 2.8553,                 2.8074,                0.33351,                0.34783,                0.28429,                0.06009,                 2.0594,                 2.8382,                 2.7345,              0.0014951,              0.0014951,              0.0014951
                     54,                 2.3576,                 2.7852,                 2.8046,                0.35163,                0.43478,                0.28525,                0.06972,                 2.2803,                 2.8316,                 2.9252,              0.0014852,              0.0014852,              0.0014852
                     55,                 2.3845,                 2.7712,                 2.8146,                0.16411,                0.14559,                0.09274,                0.02204,                 2.6048,                 3.0575,                 3.3498,              0.0014753,              0.0014753,              0.0014753
                     56,                 2.3708,                 2.7945,                 2.8015,                 0.1321,                0.26477,                0.09033,                0.02161,                 2.6221,                 3.2377,                  3.339,              0.0014654,              0.0014654,              0.0014654
                     57,                 2.3607,                 2.7717,                 2.7994,                0.00639,                      1,                0.12266,                0.02886,                 1.9948,                 3.1734,                 2.8182,              0.0014555,              0.0014555,              0.0014555
                     58,                 2.3396,                  2.741,                 2.7894,                0.00611,                0.95652,                0.03662,                 0.0132,                 2.0362,                 3.2215,                 2.8304,              0.0014456,              0.0014456,              0.0014456
                     59,                 2.3225,                 2.7347,                 2.7868,                0.18643,                 0.3913,                0.24064,                0.08215,                 1.9846,                 3.0092,                 2.7902,              0.0014357,              0.0014357,              0.0014357
                     60,                 2.3416,                 2.7563,                 2.8023,                0.46819,                0.04348,                0.15345,                0.06144,                 2.1875,                 3.0474,                 2.8575,              0.0014258,              0.0014258,              0.0014258
                     61,                 2.3369,                 2.8472,                  2.786,                0.22196,                0.17391,                0.21318,                0.09252,                 2.1225,                 2.9906,                  2.771,              0.0014159,              0.0014159,              0.0014159
                     62,                 2.3064,                 2.7023,                 2.7439,                0.28964,                0.40805,                0.24341,                0.09911,                 2.0943,                 2.9916,                 2.7184,               0.001406,               0.001406,               0.001406
                     63,                 2.3054,                 2.7614,                 2.7188,                0.46776,                0.13043,                0.20237,                0.07128,                 2.1814,                 2.9986,                 2.7952,              0.0013961,              0.0013961,              0.0013961
                     64,                 2.2637,                 2.7643,                 2.7279,                0.11667,                0.08696,                0.10529,                0.03907,                 2.1841,                 3.0766,                 2.7651,              0.0013862,              0.0013862,              0.0013862
                     65,                 2.2868,                 2.7338,                 2.7162,                0.36962,                0.13043,                0.12999,                0.03905,                 2.1855,                 3.0775,                 2.7061,              0.0013763,              0.0013763,              0.0013763
                     66,                 2.2465,                   2.76,                 2.7003,                 0.3895,                0.19512,                0.20806,                0.05414,                  2.067,                 3.1082,                 2.6795,              0.0013664,              0.0013664,              0.0013664
                     67,                 2.2809,                 2.7313,                 2.7066,                 0.8197,                0.30435,                0.40681,                0.10393,                 2.1433,                 3.1572,                 2.7799,              0.0013565,              0.0013565,              0.0013565
