                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                 1.7382,                 2.2688,                 2.2691,                0.63224,                0.69565,                0.65944,                0.23204,                 1.8569,                 2.1246,                 2.4252,              0.0005249,              0.0005249,              0.0005249
                    152,                  1.748,                 2.2638,                 2.2707,                0.50148,                0.56522,                0.59252,                0.19022,                  1.857,                 2.2315,                  2.482,               0.000515,               0.000515,               0.000515
                    153,                 1.7404,                 2.2692,                 2.2862,                0.32268,                 0.3913,                0.40268,                0.12509,                 2.0076,                 2.4751,                 2.6687,              0.0005051,              0.0005051,              0.0005051
                    154,                 1.7412,                    2.3,                 2.2496,                0.23166,                0.47826,                0.38928,                0.09959,                 2.0175,                 2.4983,                 2.6766,              0.0004952,              0.0004952,              0.0004952
                    155,                 1.7107,                 2.1926,                 2.2671,                0.31729,                0.65217,                0.45271,                0.13999,                 2.0041,                 2.3587,                 2.6155,              0.0004853,              0.0004853,              0.0004853
                    156,                 1.7389,                 2.3385,                 2.2929,                0.38969,                0.47826,                0.43177,                0.16162,                 1.9528,                 2.2433,                 2.4977,              0.0004754,              0.0004754,              0.0004754
                    157,                   1.72,                   2.21,                 2.2647,                0.38043,                0.48062,                 0.4656,                0.18106,                 1.9392,                 2.1841,                 2.4499,              0.0004655,              0.0004655,              0.0004655
                    158,                 1.6844,                 2.1973,                 2.2172,                0.45525,                0.65217,                0.51623,                0.19699,                 1.8903,                  2.167,                 2.4519,              0.0004556,              0.0004556,              0.0004556
                    159,                 1.6806,                 2.1878,                 2.2246,                 0.6843,                0.52174,                 0.6471,                0.18849,                 1.9831,                 2.2969,                 2.5896,              0.0004457,              0.0004457,              0.0004457
                    160,                 1.6507,                 2.1856,                 2.2236,                0.72361,                0.43478,                0.58839,                0.15335,                 2.0135,                  2.351,                 2.6267,              0.0004358,              0.0004358,              0.0004358
                    161,                  1.686,                 2.2218,                 2.2105,                0.58047,                0.52174,                0.58902,                0.22844,                 1.9051,                 2.1925,                 2.5084,              0.0004259,              0.0004259,              0.0004259
                    162,                 1.6984,                 2.2124,                 2.2331,                0.49758,                 0.6087,                0.66408,                0.26508,                 1.8412,                 2.1031,                 2.4262,               0.000416,               0.000416,               0.000416
                    163,                 1.7272,                 2.2538,                  2.235,                0.43797,                 0.6087,                0.56962,                0.24018,                 1.8417,                  2.117,                 2.3895,              0.0004061,              0.0004061,              0.0004061
                    164,                 1.7521,                 2.2054,                 2.2498,                0.44072,                0.58278,                0.50928,                0.20731,                 1.9404,                 2.1805,                 2.4393,              0.0003962,              0.0003962,              0.0003962
                    165,                 1.6904,                 2.2271,                 2.1886,                0.42624,                 0.6087,                0.51468,                 0.2157,                 1.9332,                 2.1775,                 2.4229,              0.0003863,              0.0003863,              0.0003863
                    166,                  1.737,                 2.1465,                 2.2274,                0.45872,                 0.6635,                0.53365,                0.22156,                 1.8889,                 2.1404,                 2.3768,              0.0003764,              0.0003764,              0.0003764
                    167,                 1.7406,                 2.2116,                 2.2399,                0.43658,                0.65217,                0.47375,                 0.2317,                  1.834,                  2.071,                 2.3266,              0.0003665,              0.0003665,              0.0003665
                    168,                 1.6938,                 2.1813,                 2.2175,                0.49251,                0.73913,                0.50193,                0.24651,                 1.8103,                 2.0389,                 2.3192,              0.0003566,              0.0003566,              0.0003566
                    169,                  1.677,                 2.1555,                  2.206,                0.46004,                0.65217,                0.57082,                0.25105,                 1.8441,                 2.0397,                 2.3569,              0.0003467,              0.0003467,              0.0003467
                    170,                 1.6574,                 2.1314,                 2.1724,                0.43899,                0.56522,                0.57334,                0.23742,                 1.9002,                 2.0835,                 2.4024,              0.0003368,              0.0003368,              0.0003368
                    171,                 1.6477,                 2.1919,                  2.171,                0.85307,                0.34783,                0.59524,                 0.1862,                 2.0854,                  2.201,                 2.5523,              0.0003269,              0.0003269,              0.0003269
                    172,                 1.6903,                 2.1527,                 2.2156,                0.81323,                0.37946,                 0.5433,                 0.1951,                 2.0768,                 2.1849,                 2.5404,               0.000317,               0.000317,               0.000317
                    173,                  1.673,                 2.0843,                  2.185,                0.74881,                0.51865,                0.61677,                0.22059,                  1.986,                 2.1365,                 2.4665,              0.0003071,              0.0003071,              0.0003071
                    174,                 1.6565,                 2.1901,                 2.2083,                0.53835,                0.47826,                 0.5271,                 0.2298,                  1.818,                 2.1341,                 2.3318,              0.0002972,              0.0002972,              0.0002972
                    175,                 1.6533,                 2.1301,                 2.1811,                0.53062,                0.52174,                0.49689,                0.20797,                 1.7783,                 2.1244,                 2.3138,              0.0002873,              0.0002873,              0.0002873
                    176,                 1.6506,                 2.1212,                  2.199,                 0.5629,                0.56522,                0.48973,                0.20781,                 1.8265,                 2.0511,                 2.3328,              0.0002774,              0.0002774,              0.0002774
                    177,                 1.7045,                 2.2168,                 2.2212,                0.58889,                 0.5607,                0.55199,                0.22324,                 1.9597,                 1.9655,                 2.4139,              0.0002675,              0.0002675,              0.0002675
                    178,                 1.6551,                 2.1529,                 2.1782,                0.53201,                0.69207,                0.58981,                 0.2379,                 2.0214,                 1.9829,                 2.4695,              0.0002576,              0.0002576,              0.0002576
                    179,                 1.7282,                  2.211,                 2.2173,                0.50967,                0.72339,                 0.5959,                0.22671,                 2.1008,                 2.0162,                 2.5287,              0.0002477,              0.0002477,              0.0002477
                    180,                   1.66,                 2.1744,                 2.1772,                 0.5173,                0.55935,                0.63531,                0.23796,                 2.0613,                   2.04,                 2.5152,              0.0002378,              0.0002378,              0.0002378
                    181,                 1.6606,                 2.0779,                 2.1564,                0.62473,                0.65217,                0.67149,                0.26228,                 2.0074,                 2.0379,                 2.4811,              0.0002279,              0.0002279,              0.0002279
                    182,                 1.6421,                 2.0282,                 2.1539,                0.70123,                 0.6087,                0.68396,                0.28278,                 1.9082,                 1.9132,                 2.3755,               0.000218,               0.000218,               0.000218
                    183,                   1.72,                 2.2664,                  2.182,                 0.5897,                0.78261,                0.69919,                 0.2949,                 1.8987,                 1.8784,                 2.3403,              0.0002081,              0.0002081,              0.0002081
                    184,                 1.6557,                 2.1837,                 2.1969,                0.55948,                0.77331,                0.68724,                0.29669,                 1.8901,                 1.8686,                 2.3492,              0.0001982,              0.0001982,              0.0001982
                    185,                 1.6145,                  2.058,                  2.151,                0.58334,                0.69565,                0.72291,                0.28726,                 1.8841,                 1.8233,                 2.3451,              0.0001883,              0.0001883,              0.0001883
                    186,                 1.5901,                 2.0492,                 2.1447,                0.59655,                0.69565,                0.70326,                0.27021,                 1.9074,                  1.837,                 2.3734,              0.0001784,              0.0001784,              0.0001784
                    187,                 1.6746,                 2.0991,                 2.1896,                 0.6128,                 0.6087,                 0.7032,                0.26085,                 1.9477,                 1.8706,                 2.4081,              0.0001685,              0.0001685,              0.0001685
                    188,                 1.6876,                 2.0867,                 2.1953,                0.64582,                 0.6087,                0.67954,                 0.2517,                 1.9576,                 1.8815,                 2.4095,              0.0001586,              0.0001586,              0.0001586
                    189,                 1.6583,                 2.1255,                 2.1758,                 0.6356,                0.68289,                0.65603,                0.25166,                  1.947,                 1.8579,                 2.3814,              0.0001487,              0.0001487,              0.0001487
                    190,                 1.6675,                 2.1466,                 2.1879,                0.61365,                0.69565,                0.65469,                0.27084,                 1.8904,                 1.8354,                 2.3446,              0.0001388,              0.0001388,              0.0001388
                    191,                 1.6052,                 2.2117,                 2.1722,                0.65027,                0.69565,                0.65617,                0.25926,                 1.8832,                  1.871,                 2.3686,              0.0001289,              0.0001289,              0.0001289
                    192,                 1.6459,                 2.1731,                 2.1993,                0.62641,                0.65628,                0.66388,                0.25107,                 1.9168,                 1.9074,                 2.3946,               0.000119,               0.000119,               0.000119
                    193,                  1.559,                 2.1795,                 2.1512,                0.58795,                0.62075,                0.63051,                 0.2203,                 2.0162,                 1.9602,                 2.4752,              0.0001091,              0.0001091,              0.0001091
                    194,                 1.5974,                  2.199,                 2.1763,                0.61697,                0.56048,                0.64202,                0.21633,                 2.0681,                 1.9659,                  2.517,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                 1.6076,                 2.2451,                 2.1435,                0.58493,                0.65217,                0.61011,                0.20247,                 2.0993,                  1.991,                 2.5362,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                 1.6031,                    2.2,                 2.1786,                0.55271,                 0.6087,                0.59148,                0.20309,                 2.0957,                 1.9773,                 2.5339,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                 1.6303,                 2.2182,                 2.1935,                0.61058,                 0.6087,                0.61025,                0.21914,                 2.0705,                 1.9718,                 2.5109,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                 1.5879,                 2.0752,                 2.1284,                0.56321,                 0.6087,                0.63227,                0.23449,                 2.0227,                 1.9542,                 2.4727,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                 1.5997,                 2.1813,                 2.1618,                0.56428,                 0.6087,                0.60849,                0.23965,                 1.9845,                 1.9546,                 2.4367,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                  1.581,                 2.1078,                 2.1297,                0.55038,                 0.6087,                0.65032,                 0.2471,                 1.9708,                 1.9535,                 2.4235,               3.98e-05,               3.98e-05,               3.98e-05
